‾	siqisqa, takay, vinculum
🫴	hamuy, hanaqman maki pampa, hapiy, mañay, quy
👌	UYAKUY, UYAKUY maki, maki
🤌	maki gestu, rukanakuna, sawkalli, tapurikuy, tʼipisqa, tʼipsisqa rukanakuna
🤏	huchuy chanin, tʼipsisqa maki
✌️	maki, v, yalli, yalli maki
🤞	chakatasqa rukanakuna, chakatay, maki, rukana, suerte
🫰	chanin, maki chakatasqa iskay rukanawan, munay, qullqi, sunqu
🤟	ILY, maki, munanki yupi
🤘	maki, rock, rukana, waqrakuna, waqrakuna unancha
🤙	maki, qayana, waqyawani maki
👈️	chimpuy, indice, jinchʼa, maki, rukana, tʼupsi rukʼanawan lluqʼiman chimpuy
👉️	chimpuy, indice, jinchʼa, maki, rukana, tʼupsi rukʼanawan pañaman chimpuy
👆️	chimpuy, hanaq, jinchʼa, maki, rukana, tʼupsi rukʼanawan hanaqman chimpuy
🖕	chawpi rukana, maki, rukana
👇️	chimpuy, jinchʼa, maki, rukana, tʼupsi rukʼanawan uranman chimpuy, uran
☝️	chimpuy, hanaq, indice, maki, rukana, rukʼanawan hanaqman chimpuy
🫵	chimpuy, indice rukanawan chimpusqa qawaqman, qam
👍️	+1, hanaq, hanaqpi rukʼana, maki, rukʼana
👎️	-1, maki, rukʼana, uran, uranpi rukʼana
✊	ch’uqmi, juqharisqa saqma, maki, pipuyasqa, saqma
👊	ch’uqmi, juqharisqa saqma, maki, saqma unancha
🤛	lluqʼi saqma, lluq’iman, saqma
🤜	paña saqma, pañaman, saqma
👏	jayllisqa makikuna, jaylliy, maki
🙌	achhalay, gesto, juqharisqa, juqharisqa makikuna, maki, raymi
🫶	munay, sunqu makikunawan
👐	kichasqa makikuna, kichay, maki
🤲	makikunawan plegaria unancha, plegaria
🤝	huñunakuy, maki, pipuyasqa, pipuyasqa makikunapura, pipuyasqa makukunapura, uyniy
🙏	maki, makikuna rezando, orar, pachi, tapuy
✍️	maki, maki qillqachkan, qillqay
💅	cosmeticos, esmalte, esmalte sillukunapaq, manicura, qhaway, sillu
🤳	camara, selfie, telefono
💪	challwan, comic, iskaychasqa bicepkuna, musculo, p’akchiy
🦾	mecanico maki, prostetico, yaykurinalla
🦿	mecanico chaka, prostetico, yaykurinalla
🦵	chanka, jaytʼay, miembro
🦶	chaki, jaytʼay saruy
👂️	khurku, ninri
🦻	haykurinalla, ninri uyarisqa yanapayniwan, pantasqa uyariypaq
👃	sinqa, ukhu
🧠	umayuq, ñuqtu
🫀	anatomico, anatomico sunqu, cardiologia, organo, pulso, sunqu
🫁	inhalar, organo, respiracion, samarquy, samay, surqʼankuna
🦷	dentista, kiru, kirukuna
🦴	saqru, tullu
👀	uya, ñawi, ñawikuna
👁️	khurku, ñawi
👅	khurku, qallu
👄	simi, sirpi
🫦	kachupakuspa simi, llakikusqa, llakikuy, llakisqa, llakiy
👶	wawa, wayna
🧒	genero, irqi, mana akllasqa, neutral genero, yuqalla
👦	wayna, yuqalla
👧	Virgo, warmi warma, wayna, zodiaco
🧑	genero neutral, mana akllasqa genero, puriq runa, runa
👱	chukcha, qillu, qillu chukcha runa, runa: qillu chukcha, runa: qʼillu chukcha
👨	puriq runa, tata
🧔	kʼaki, runa, runa: kʼaki
🧔‍♂	kaki, runa, runa: kaki
👱‍♂	chukcha, qʼillu, runa, runa: qillu chukcha, runa:qillu chukcha
👩	puriq runa, warmi
🧔‍♀	kʼaki, warmi, warmi: kʼaki
👱‍♀	chukcha, qʼillo chukcha warmi, qʼillu, warmi, warmi: qʼillu chukcha
🧓	genero, genero neutral, hatun, mana akllasqa, puriq runa, ñawpa runa
👴	hatun, hatun tata, puriq runa, runa
👵	hatun, hatun mama, puriq runa, warmi
🙍	gesto, llaki, llakisqa runa
🙍‍♂	gesto, llakisqa, llakisqa tata, tata
🙍‍♀	gesto, llakisqa, llakisqa warmi, warmi
🙎	gesto, phiñachisqa runa, piñachisqa
🙎‍♂	gesto, phiñachisqa tata, piñachisqa, tata
🙎‍♀	gesto, phiñachisqa warmi, piñachisqa, warmi
🙅	amasqa, amatasqa, gesto, maki, runa MANA rikuy
🙅‍♂	amasqa, amatasqa, gesto, maki, tat MANA gestowan
🙅‍♀	amasqa, amatasqa, gesto, warmi, warmi MANA gestowan
🙆	UYAKUY, gesto, maki, runa UYAKUY rikuy
🙆‍♂	UYAKUY, gesto, maki, tata, tata UYAKUY gestowan
🙆‍♀	UYAKUY, gesto, maki, warmi, warmi UYAKUY gestowan
💁	maki, mana p’inakuy, qillqasqa, runa willakuy kitipi, willakuy, yanapakuy
💁‍♂	mana p’inakuy, qillqasqa maki, tata, tata willakuy kitipi
💁‍♀	mana p’inakuy, qillqasqa maki, warmi, warmi willakuy kitipi
🙋	gesto, hatarichisqa, kusi, maki, runa makita hatarichiy
🙋‍♂	gesto, hatarichisqa maki, tata, tata makita hatarichiy
🙋‍♀	gesto, hatarichisqa maki, warmi, warmi makita hatarichiy
🧏	haykurinalla, luqtʼu, luqtʼu runa, ninri, uyariy
🧏‍♂	runa, ruqtʼu, ruqtʼu runa
🧏‍♀	luqtʼu, luqʼu warmi, warmi
🙇	gesto, qhispichiway, qhispichiy, upaykusqa runa, upaykuy
🙇‍♂	gesto, khuyay, qhispichiway, qhispichiy, tata, upaykusqa, upaykusqa tata
🙇‍♀	gesto, khuyay, qhispichiway, qhispichiy, upaykusqa, upaykusqa warmi, warmi
🤦	chunta, iñiynin, runa makian uyapi, tapuna, uya
🤦‍♂	iñiynin, maki t’aqlla, tapuna, tata, tata makiwan uyapi
🤦‍♀	iñiynin, maki t’aqlla, tapuna, warmi, warmi makian uyapi
🤷	chiri sunqu, hatarichiy, pantay, runa rikrakunayuq hatarichiy, thuki
🤷‍♂	chiri sunqu, hatarichiy, pantay, tata, tata rikrakunayuq hatarichiy, thuki
🤷‍♀	chiri sunqu, hatarichiy, pantay, thuki, warmi, warmi rikrakunayuq hatarichiy
🧑‍⚕	enfermera, hanpiq, qhali kay, qhali kaywan llamkaq, terapista
👨‍⚕	enfermera, hanpiq, qhali kay, tata, tata qhali kaywan llamkaq, terapista
👩‍⚕	enfermera, hanpiq, qhali kay, terapista, warmi, warmi qhali kaywan llamkaq
🧑‍🎓	graduado, yachakuq
👨‍🎓	graduado, tata, tata yachakuq, yachakuq
👩‍🎓	graduada, warmi, warmi yachakuq, yachakuq
🧑‍🏫	instructor, maestro, yachachiq
👨‍🏫	instructor, maestro, tata, tata yachachiq, yachachiq
👩‍🏫	instructor, maestro, warmi, warmi yachachiq, yachachiq
🧑‍⚖	aysana, juez
👨‍⚖	aysana, justicia, tata, tata juez
👩‍⚖	aysana, jueza, warmi, warmi jueza
🧑‍🌾	granjero, jardinero, ranchero
👨‍🌾	granjero, jardinero, ranchero, tata, tata granjero
👩‍🌾	granjero, jardinero, ranchero, warmi, warmi granjera
🧑‍🍳	chef, wayk’uq
👨‍🍳	chef, tata, tata wayk’uq, wayk’uq
👩‍🍳	chef, warmi, warmi wayk’uq, wayk’uq
🧑‍🔧	electrico, mecanico, plomero, ranqhaq
👨‍🔧	electrico, mecanico, plomero, ranqhaq, tata, tata mecanico
👩‍🔧	electrico, mecanico, plomero, ranqhaq, warmi, warmi mecanico
🧑‍🏭	asamblea, fabrica, fabrica llamkaq, industrial, llamkaq
👨‍🏭	asamblea, fabrica, industrial, llamkaq, tata, tata fabrica llamkaq
👩‍🏭	asamblea, fabrica, industrial, llamkaq, warmi, warmi fabrica llamkaq
🧑‍💼	kamachiq, oficina llamkaq, oficinista, qatuna, wasi k’achanchaq
👨‍💼	kamachiq, oficinista, qatuna, tata, tata oficina llamkaq, wasi k’achanchaq
👩‍💼	kamachiq, oficinista, qatuna, warmi, warmi oficina llamkaq, wasi k’achanchaq
🧑‍🔬	biologo, fisico, hamut’asqa, ingeniero, quimico
👨‍🔬	biologo, fisico, hamut’asqa, ingeniero, quimico, tata, tata hamut’asqa
👩‍🔬	biologa, fisica, hamut’asqa, ingeniera, quimica, warmi, warmi hamut’asqa
🧑‍💻	descifrador, kamaq, paqariq, software, tecnico
👨‍💻	descifrador, kamaq, paqariq, software, tata, tata tecnico, tecnico
👩‍💻	descifrador, kamaq, paqariq, software, tecnico, warmi, warmi tecnico
🧑‍🎤	artista, imaymana yanakuq, quyllur, rock, takiq
👨‍🎤	artista, imaymana yanakuq, quyllur, rock, takiq, tata, tata takiq
👩‍🎤	artista, imaymana yanakuq, quyllur, rock, takiq, warmi, warmi takiq
🧑‍🎨	llimpiq, paleta
👨‍🎨	llimpiq, paleta, tata, tata llimpiq
👩‍🎨	llimpiq, paleta, warmi, warmi llimpiq
🧑‍✈	latap’isqu, piloto
👨‍✈	latap’isqu, piloto, tata, tata piloto
👩‍✈	latap’isqu, piloto, warmi, warmi piloto
🧑‍🚀	astronauta, cohete
👨‍🚀	astronauta, cohete, tata, tata astronauta
👩‍🚀	astronauta, cohete, warmi, warmi astronauta
🧑‍🚒	bombero, carru bombero
👨‍🚒	bombero, carru bombero, tata, tata bombero
👩‍🚒	bombera, carru bombero, warmi, warmi bombera
👮	hachu, oficial, paco, policia
👮‍♂	jach’u, oficial, paco, tata, tata policia
👮‍♀	jach’u, oficial, paco, warmi, warmi policia
🕵️	qawariy, qawmiwa, qhamiyaq
🕵‍♂	qawariy, qawmiwa, qhamiyaq, tata, tata qhamiyaq
🕵‍♀	qawariy, qawmiwa, qhamiyaq, warmi, warmi qhamiyaq
💂	guardia
💂‍♂	guardia, tata, tata guardia
💂‍♀	guardia, warmi, warmi guardia
🥷	maqanakuy, ninja, pakasqa, siqilo
👷	Pirqaq, chuku, llamkaq, pirqaq
👷‍♂	llamkaq, pirqaq, tata, tata pirqaq
👷‍♀	llamkaq, pirqaq, warmi, warmi pirqaq
🫅	inka, qapaq, runa kurunawan, tata inka, uma runa
🤴	awki
👸	fantasia, hadas willarina, ñusta
👳	runa turbantewan, turban
👳‍♂	tata, tata turbantewan, turbante
👳‍♀	turbante, warmi, warmi turbantewan
👲	casquete, chʼullu, gorra, gua pi mao, runa, runa casquetewan
🧕	barbijo, hijab, mantilla, tichel, warmi barbijiwan, warmi barbijowan
🤵	machu wayna, runa, runa tuxedopi, tuxedo
🤵‍♂	esmoquin, runa esmoquinwan, tata
🤵‍♀	tuxedo, warmi, warmi tuxedopi
👰	runa, runa velowan, salla, sawa, velo
👰‍♂	runa, runa velopi, velo
👰‍♀	velo, warmi, warmi velopi
🤰	warmi, wiksayuq, wiksayuq warmi
🫃	hunta, puputi, qari wiksayuq, wiksayuq, yawarniyuq
🫄	hunta, wiksayuq, wiksayuq runa, yawarniyuq
🤱	wawa, ñuñu, ñuñuchiy, ñuñuq
👩‍🍼	enfermeria, warmi, warmi wawata ñuñuchichkan, wawa, ñuñuchiy
👨‍🍼	enfermeria, runa, runa wawata ñuñuchichkan, wawa, ñuñuchiy
🧑‍🍼	enfermeria, runa, runa wawawan ñuñuchichkan, wawa, ñuñuchichkan
👼	angel, fantasia, hadas willana, uya, wawa, wawa angel
🎅	Navidad, Papa Noel, noel, papa, raymi, tata
🤶	Mama Noel, Navidad, mama, noel, raymi
🧑‍🎄	Claus, navidad, mx claus
🦸	allin, heroe, heroina, superheroe, superpoder
🦸‍♂	allin, heroe, runa, runa superheroe, superpoder
🦸‍♀	allin, heroe, heroina, superpoder, warmi, warmi superheroe
🦹	criminal, supay, superpoder, supervillano, villano
🦹‍♂	criminal, runa, runa supervillano, supay, superpoder, villano
🦹‍♀	criminal, supay, superpoder, villana, warmi, warmi supervillana
🧙	runa layqa, runa watuq, warmi layqa, warmi watuq, watuq
🧙‍♂	layqa, tata watuq, watuq
🧙‍♀	bruja, layqa, warmi watuq
🧚	Oberon, Puck, Titania, hada
🧚‍♂	Oberon, Puck, tata hada
🧚‍♀	Titania, warmi hada
🧛	Dracula, mana wañusqa, vampiro
🧛‍♂	Dracula, mana wañusqa, tata vampiro
🧛‍♀	mana wañusqa, warmi vampiro
🧜	runa sirena, sirena, tata triton, warmi sirena
🧜‍♂	Triton, tata triton
🧜‍♀	sirena, warmi sirena
🧝	elfo, magico
🧝‍♂	magico, tata elfo
🧝‍♀	magico, warmi elfo
🧞	genio, genio lamparamanta
🧞‍♂	genio, tata genio lamparamanta
🧞‍♀	genio, warmi genio lamparamanta
🧟	mana wañusqa, zombi
🧟‍♂	mana wañusqa, tata zombi, zombi
🧟‍♀	mana wañusqa, warmi zombi, zombi
🧌	fantasia, kawri, troll nisqa, willarina
💆	masaje, runa masaje uyapi, salon, uya
💆‍♂	masaje, tata, tata masaje uyapi, uya
💆‍♀	masaje, uya, warmi, warmi masaje uyapi
💇	barbero, k’acha, runa chukcha rutukuy, rutukuy, salon
💇‍♂	rutukuy, tata, tata chukcha rutukuy
💇‍♀	rutukuy, warmi, warmi chukcha rutukuy
🚶	purina, puriy, runa purichkan, walking
🚶‍♂	purina, puriy, tata, tata purichkan
🚶‍♀	purina, puriy, warmi, warmi purichkan
🧍	runa sayariy, sayarisqa, sayariy
🧍‍♂	sayariy, tata, tata sayariy
🧍‍♀	sayariy, warmi, warmi sayariy
🧎	qunqurichkan, qunqurisqa, qunqurisqa runa, qunquriy, runa
🧎‍♂	qunqurisqa, qunqurisqa tata, tata
🧎‍♀	qunqurisqa, qunqurisqa warmi, warmi
🧑‍🦯	runa yuraq cañawan, yaykurinalla, ñawsa
👨‍🦯	haykurinalla, runa, runa yuraq warrawan, ñawsa
👩‍🦯	haykurinalla, warmi, warmi yuraq cañawan, ñawsa
🧑‍🦼	haykurinalla, runa motorizado silla de ruedas nisqapi, runamotorizado silla de ruedas nisqapi, silla de ruedas nisqa
👨‍🦼	haykurinalla, runa, runa motorizado silla de ruedas nisqawan, silla de ruedas
👩‍🦼	haykurinalla, silla de ruedas, warmi, warmi motorizado silla de ruedaspi
🧑‍🦽	haykurinalla, runa manual silla de ruedaspi, silla de ruedas nisqa
👨‍🦽	runa, runa manual silla de ruedas nisqapi, silla de ruedas, yaykurinalla
👩‍🦽	silla de ruedas, warmi, warmi manual silla de ruedas, yaykurinalla
🏃	maraton, phawachkan, runa phawachkan
🏃‍♂	carrera, maraton, phawachkan, tata, tata phawachkan
🏃‍♀	carrera, maraton, phawachkan, warmi, warmi phawachkan
💃	tusuchkan, tusuy, warmi, warmi tusuchkan
🕺	runa tusuchkan, tata, tusuchkan, tusuy
🕴️	qatuna, runa, runa trajepi levitando, traje
👯	quwi ninri, raymichkan, runakuna quwi ninrikunawan, tusuq
👯‍♂	quwi ninri, raymichkan, runa quwi ninrikunawan, runakuna, tusuq
👯‍♀	quwi ninri, raymichkan, tusuq, warmi quwi ninrikunawan
🧖	runa wapsi wasipi, sauna, wapsi wasi
🧖‍♂	sauna, tata wapsi wasipi, wapsi wasi
🧖‍♀	sauna, wapsi wasi, warmi wapsi wasipi
🧗	wichaq runa, wichay
🧗‍♂	wichaq tata, wichay
🧗‍♀	wichaq warmi, wichay
🤺	esgrima, esgrimista, espada, runa esgrimapi
🏇	atipanaku, atipanaku kawallukuna, jockey, kawallu
⛷️	esqui, esquiador, rit’i
🏂️	esqui, rit’i, snowboarder
🏌️	golf, golfista, p’ulu
🏌‍♂	golf, tata, tata golfista
🏌‍♀	golf, warmi, warmi golfista
🏄️	runa surfeando, surfear
🏄‍♂	surfear, tata, tata surfeando
🏄‍♀	surfear, warmi, warmi surfeando
🚣	runa wampʼu rmoswan, wamp’u, wamp’u remoswan
🚣‍♂	runa wampʼu remoswan, tata, wamp’u, wamp’u remoswan
🚣‍♀	wamp’u, wamp’u remoswan, warmi, warmi wampʼu remoswan
🏊️	runa waytʼachkan, wayt’ay
🏊‍♂	tata, tata waytachkan, wayt’ay
🏊‍♀	warmi, warmi waytachkan, wayt’ay
⛹️	p’ulu, runa p’uluta chuqapachkan
⛹‍♂	p’ulu, tata, tata p’uluta chuqapachkan
⛹‍♀	p’ulu, warmi, warmi p’uluta chuqapachkan
🏋️	jatarichiy, llasaynin, runa llasayninkunata jatarichichkan
🏋‍♂	sayaynin jatarichiy, tata, tata sayayninkunata jatarichichkan
🏋‍♀	sayaynin jatarichiy, warmi, warmi sayayninkunata jatarichichkan
🚴	bicycle, pusachkan, pusay, runa bicicletapi
🚴‍♂	bicicleta, pusachkan, pusay, tata, tata bicicletapi
🚴‍♀	bicicleta, pusachkan, pusay, warmi, warmi bicicletapi
🚵	bicicleta, pusachkan, pusay, runa urqu bicicletapi, urqu
🚵‍♂	bicicleta, pusachkan, pusay, tata, tata urqu bicicletapi, urqu
🚵‍♀	bicicleta, pusachkan, pusay, urqu, warmi, warmi urqu bicicletapi
🤸	gimnasia, muyuy, runa gimnasia ruwachkan
🤸‍♂	gimnasia, muyuy, tata, tata gimnasia ruwachkan
🤸‍♀	gimnasia, muyuy, warmi, warmi gimnasia ruwachkan
🤼	maqanakuq, maqanakuq runa, maqanakuy
🤼‍♂	maqanakuq tata, maqanakuy, runakuna
🤼‍♀	maqanakuq warmi, maqanakuy, warmi
🤽	polo, runa water polo pukllachkan, water
🤽‍♂	tata, tata Water polo pukllachkan, water polo
🤽‍♀	warmi, warmi water polo pukllachkan, water polo
🤾	balonmano, p’ulu, runa balonmano pukllachkan
🤾‍♂	balonmano, tata, tata balonmano pukllachkan
🤾‍♀	balonmano, warmi, warmi balonmano pukllachkan
🤹	achka ruwanakuna, allin takyay, malabares ruway, runa malabares ruwachkan, yachay
🤹‍♂	achka ruwanakuna, malabares ruwachkan, runa, tata malabares ruwachkan
🤹‍♀	achka ruwanakuna, malabares ruwachkan, warmi, warmi malabares ruwachkan
🧘	jamut’ay, runa yoga yupipi, yoga
🧘‍♂	jamut’ay, tata yoga yupipi, yoga
🧘‍♀	jamut’ay, warmi yoga yupipi, yoga
🛀	armakunapaq, bañera, runa armakuyniyuq
🛌	puñuy, runa puñunapi, tampuwasi
🧑‍🤝‍🧑	hapisqa, iskay makikunawan, maki, pitu runakuna, runakuna iskay makikunawan
👭	iskay makikunawan, maki, pitu, warmi, warmi iskay makikunawan
👫	hapisqa, iskay makikunawan, maki, pitu, runa, warmi, warmi chaymanta runa iskay makikunawan
👬	Geminis, iskay, iskay makikunawan, runa, runa iskay makikunawan, runakuna, zodiaco
💏	much’a, pitu runakuna
💑	munay, pitu runakuna, pitu runakuna sunquwan
👪️	kuraq ayllu
🗣️	parlachkan, parlay, rikchay, uma, uma parlachkan, uya
👤	rikchay, ukhu, ukhu rikchay
👥	rikchay, ukhu, ukhu rikchaykuna
🫂	aywa, imaynalla, makʼalli, pachi, runakuna makʼalliwan
👣	p’acha, yupi, yupinay
🦰	puka chukcha, pukachukcha, qillu niqcha
🦱	afro, qaspa, qaspa chukcha, qiwicha
🦳	chukcha, machu, uqi, yuraq, yuraq chukcha
🦲	hairless, mana chukchayuq, paqla, quimioterapia, rutusqa
🐵	kusillu, kusillu uya, uya
🐒	kusillu
🦍	gorila
🦧	kusillo, orangutan
🐶	allqu, allqu uya, uya, uywa
🐕️	allqu, uywa
🦮	haykurinalla, yanapaku, yanapakuq allqu, ñawsa
🐕‍🦺	allqu, haykurinalla, llamkaq allqu, llamkay, yanapakuy
🐩	allqu, poodle
🐺	k’ita allqu, uya
🦊	atuq, uya
🦝	challi, curioso, mapache
🐱	misi, misi uya, uya, uywa
🐈️	misi, uywa
🐈‍⬛	mana suertuwan, misi, yana, yana misi
🦁	Leo, leon, uya, zodiaco
🐯	tigre, tigre uya, uya
🐅	tigre
🐆	leopardo
🐴	kawallu, kawallu uya, uya
🐎	carrera, ecuestre, kawallu, kawallu purichiypaq
🦄	unicornio, uya
🦓	siqi, zebra
🦌	taruka
🦬	amawta, bison, bufalo, manada
🐮	uya, waka, waka uya
🐂	Tauro, buey, toro, zodiaco
🐃	bufalo, bufalo yakumanta, yaku
🐄	waka
🐷	khuchi, khuchi uya, uya
🐖	kuchi, tarpuy
🐗	kuchi, lumi kuchi
🐽	kuchi, kuchi sinqa, ninri, uya
🐏	Aries, carnero, oveja, urqu, zodiaco
🐑	china, oveja, uwija
🐐	Capricornio, chiwu, zodiaco
🐪	camello, dromedario, qhupu
🐫	bactriano, camello, camello iskay qhupukunawan, qhupu
🦙	alpaca, guanacu, llama, millma, vicuña
🦒	jirafa, mapʼakuna
🐘	elefante
🦣	extinsion, hatun, mamut, millma, mumut, waqsa
🦏	rinoceronte
🦛	hipo, hipopotamo
🐭	ukucha, ukucha uya, uya
🐁	ukucha
🐀	rata
🐹	hamster, uya, uywa
🐰	conejo, quwi, quwi uya, uya, uywa
🐇	conejo, quwi, uywa
🐿️	ardilla, huchuy ardilla
🦫	castor, pʼunqu
🦔	erizo, khiskay
🦇	masu, vampiro
🐻	ukumari, uya
🐻‍❄	artico, jukumari, polar jukumari, yuraq
🐨	hukumari, koala
🐼	panda, uya
🦥	jayra, perezoso, qhilla
🦦	challwa japʼina, nutria, pukllasqa
🦨	asnaq, añas
🦘	Australia, hey, kanguro, marsupial, phinkiy
🦡	miskʼi tejon, phiñakuy, tejon
🐾	chakikuna, sillu, sillu yupinay, yupi
🦃	pavo, p’isqu
🐔	pisqu, pollo
🐓	kanka, pisqu
🐣	chiwchi, chiwchi pakisqa runtuwan, huchuy, pisqu
🐤	chiwchi, huchuy, pisqu
🐥	huchuy, huchuy pollo chimpa rikuchkan, pollo, p’isqu
🐦️	p’isqu
🐧	pinguino, p’isqu
🕊️	phaway, p’isqu, qhasi kay, urpi
🦅	anka, p’isqu
🦆	pili, p’isqu
🦢	cisne, huchuy pili, millana, pisqʼu, pollo cisnemanta
🦉	amawta, búho, p’isqu
🦤	Mauricio, dodo, extinsion, hatun
🪶	chhalla, phaway, phuru, phurukuna, pʼisqu
🦩	flamenco, rikurichisqa, tropical
🦚	apuskachay, pava real, pavo real, pisqu, rikurichisqa
🦜	parlay, pirata, pʼisqu, uritu
🐸	jamp’atu, uya
🐊	kayman
🐢	miskʼi yakumanta tortuga, tortuga
🦎	ararankha, qaraywa
🐍	Ophiuchus, amaru, hapiq, zodiaco
🐲	dragon, dragon uya, hadas willana, uya
🐉	dragon, hadas willana
🦕	braquiosauro, brontosauro, diplodocus, sauropodo
🦖	T-Rex, Tiranosaurio Rex
🐳	ballena, ballena yakuta chamqachkan, chamqachkan, uya
🐋	ballena
🐬	delfin, rikracha
🦭	foca, mamaquchamanta Leon
🐟️	Piscis, challwa, zodiaco
🐠	challwa, tropical, tropical challwa
🐡	challwa, challwa globo, globo challwa
🦈	challwa, tiburon
🐙	pulpo
🐚	churu, muyuq, muyusqa churu
🪸	arrecife, coral nisqa, mamaqucha
🐌	churu
🦋	ch’uspi, k’acha, pillpintu
🐛	ch’uspi, khuru
🐜	khuru, sikʼimira
🐝	ch’uspi, t’uktu, wara
🪲	aka tanqa, chʼuspi, khuru
🐞	aka tanqa, ch’uspi, mariquita
🦗	cricket, tʼintikuna
🪳	chʼuspi, cucaracha, parasito
🕷️	ch’uspi, kusi kusi
🕸️	kusi kusi, llika
🦂	Escorpio, escorpio, escorpión, zodiaco
🦟	malaria, mosquito, parasito, rupha, unqusqa, virus
🪰	ismusqa, parasito, paway, unqusqa, uru
🪱	anelida, hallpa pachapi uru, parasito, sillwi uru, uru
🦠	ameba, bacteria, microbio, virus
💐	tika, tikakunamanta
🌸	cerezo tika, cherry, tika
💮	tika, yuraq tika
🪷	Budismo, Hinduismo, India, Vietnam, chuya, loto, tika
🏵️	mallki, muyu whipala
🌹	rosa, tika
🥀	qawisqa, qawisqa tika, tika
🌺	hibisco, t’ika
🌻	girasol, inti, t’ika
🌼	cerezo, tʼika
🌷	tika, tulipan, tulipán
🌱	wayna, wayna mallki
🪴	macetapi sachʼa, majiy, mana ruwanapaq, nutrir, paqariy, sachʼa, wasi
🌲	sacha, sacha perene rapiwan
🌳	caduco, sacha, sacha caduca rapiwan
🌴	chunta, sach’a
🌵	kisqa, mallki
🌾	arroz, muru, ninri, pʼanqa arrozmanta
🌿	laqhi, qhura
☘️	ispinku, mallki
🍀	4, ispinku tawa laqhiwan, laqhi, tawa, trevol
🍁	arce, arce laqhi, laqhi, urmasqa
🍂	laqhi, urmasqa, urmasqa laqhi
🍃	laqhi, pharaqiy, phukuy, wayra, wayrapi laqhikuna
🪹	chusaq qisa, qisa
🪺	qisa, qisa runtukunawan
🍇	ruru, uwa, uwas
🍈	melón, ruru
🍉	ruru, sandía, watermelon
🍊	mandarina, ruru, willapi
🍋	citrico, limun, ruru
🍌	platanu, ruru
🍍	piña, ruru
🥭	mango, ruru, tropical
🍎	manzana, puka, puka manzana, ruru
🍏	manzana, qʼumir manzana, q’umir, ruru
🍐	pera, ruru
🍑	peach, rurasnu, ruru
🍒	bayas, cherri, cherris, puka, ruru
🍓	fresa, ruru
🫐	anqas, arandano, arandanos, fresa
🥝	food, kiwi, kiwi ruru, ruru
🍅	ruru, tomate, vegetal
🫒	mikuna, oliva
🥥	coco, maki, piña colada
🥑	mikhuna, palta, ruru
🍆	berenjena, vegetal
🥔	mikhuna, patata, vegetal
🥕	mikhuna, vegetal, zanahoria
🌽	chinkana, chuqllu, ninri, sara, sarasara
🌶️	jaya, jaya pimienta, pimienta
🫑	pimenton, pimiento, vegetal
🥒	mikhuna, pepinillos, pepino, vegetal
🥬	bok choy, col rizada, lechuga, qʼumir laqhikunawan, repollo
🥦	brocoli, repollo salvaje
🧄	ajo, mikhusqa
🧅	cebolla, mikhusqa
🍄	kʼallnpa, miyu k’allampa
🥜	chuqupi, mikhuna, nuez, vegetal
🌰	chʼumpi, mallki
🍞	pan, tʼanta
🥐	croissant, frances, mikhuna, paqarin mikhuna, rollo, tʼanta
🥖	baguette, baguette tʼanta, frances, mikhuna, tʼanta
🫓	agave, arepa, lavash, llaplla tʼanta, llaplla t’anta, naa
🥨	k’uyusqa, pretzel
🥯	bagel, panaderia, paqarin mikuna, schmear
🥞	breakfast, crepe, mikhuna, panqueque, panqueques, pastel caliente
🧇	desayuno, plancha, thuki, waffle
🧀	kʼallpi masaramanta, masara
🍖	aycha, aycha tullupi, tullu
🍗	chanka, chanka pollo, corral pʼisqu, pata de pollo nisqa, pollo, tullu
🥩	aycha, chuleta, chuleta aychamanta, chuleta corderomanta, chuleta khuchimanta
🥓	aycha, mikhuna, paqarin mikhuna, tocino
🍔	burger, hamburgesa
🍟	fritas, papas, papas fritas
🍕	masara, pedazo, piza
🌭	hot dog, hotdog, salchicha
🥪	sandwich, tʼanta
🌮	mexicano, taco
🌯	burrito, mayt’uy, mexicano
🫔	mexicano, tamal, tapasqa
🥙	fatafel, giro, guiso, juntʼachisqa tʼanta moldepi, kebab, llaplla t’anta, mikhuna
🧆	albondiga, fatafel, garganzo
🥚	mikhuna, paqarin mikhuna, runtu
🍳	paqarin mikhuna, runtu, sarten, thiqtiy, waykʼuchkan
🥘	caserola, llaplla, mikhuna, paella, pisi llata mikunapaq, sarten
🍲	llata, llata mikunapaq, mikhuna
🫕	Suizo, chaqrusqa, chocolate, fondue, masara, qiru
🥣	cereal, congee, cuenco willawan, paqarin mikhuna
🥗	ensalada, mikhuna, qʼumir ensalada, q’umir
🍿	palomitas de maiz
🧈	lecheria, mantequilla
🧂	condimento, kachi, shaker
🥫	lata, mikhuna latapi
🍱	bento, bento tawakʼuchu, tawakʼuchu
🍘	arroz, galleta, galleta arrozmanta
🍙	Japones, arroz, muyu, muyu arrozwan
🍚	arroz, waykʼusqa, waykʼusqa arroz
🍛	arroz, arroz currywan, curry
🍜	chhapukucha, chhapukucha fideoswan, cuenco, fideos, tallarines
🍝	espagueti, pasta
🍠	miski, miski waykʼusqa papa, papa, waykʼusqa
🍢	brocheta, ch’ampa, kebab, mama quchamanta mikhuna, oden
🍣	sushi
🍤	gamba, tempura, thiqtisqa, thiqtisqa yukra, yukra
🍥	callwa, challwa pastel muyuqwan, masa, pastel, phuyunku
