‾	барзиёд
🐫	дукуҳона, куҳон, шутур, шутури дукуҳона
🦒	зарофа, нуқтаҳо
🐘	фил
🦏	карк
🐭	афти муш, муш, рӯй
🐁	муш
🐀	каламуш
🐹	афти миримушон, миримушон, рӯй, ҳайвони хонагӣ
🐰	афти заргӯш, заргӯш, рӯй, харгӯш, ҳайвони хонагӣ
🐇	заргӯш, харгӯш, ҳайвони хонагӣ
🐿️	бурундуқ
🦔	халанда, хорпушт
🦇	вампир, муши паррон
🐻	афти хирс, рӯй, хирс
🐨	коала, хирс
🐼	афти панда, панда, рӯй
🐾	из, изҳои панҷа, панҷа, пойҳо
🦃	мурғи марҷон, парранда
🐔	парранда, чӯҷа
🐓	парранда, хурӯс
🐣	аз тухм баромадан, кӯдак, парранда, чӯҷа, чӯҷаи аз тухм баромада истода
🐤	кӯдак, парранда, чӯҷа, чӯҷаи хурд
🐥	кӯдак, парранда, чӯҷа, чӯҷаи хурди ба тарафи пеш нигоҳ карда истода
🐦️	парранда
🐧	парранда, пингвин
🕊️	кафтар, паридан, парранда, сулҳ
🦅	парранда, уқоб
🦆	мурғобӣ, парранда
🦉	бум, парранда, хирадманд
🐸	афти қурбоққа, рӯй, қурбоққа
🐊	тимсоҳ
🐢	сангпушт, сангпушт обӣ, сангпушти даштӣ, сангпушти обӣ
🦎	калтакалос, хазанда
🐍	бурҷи дувоздаҳгона, доранда, мор, Ҳаввоъ
🐲	аждаҳор, афсона, афти аждаҳор, рӯй
🐉	аждаҳор, афсона
🦕	брахиозавр, бронтозавр, динозаври завропод, диплодок
🦖	Т-Рекс, Тираннозавр Рекс
🐳	наҳанг, наҳанги фаввора зада истода, рӯй, фаввора зада истода
🐋	наҳанг
🐬	делфин, қаноти моҳӣ
🐟️	бурҷи дувоздаҳгона, моҳӣ, Ҳут
🐠	моҳии тропикӣ, моҳӣ, тропикӣ
🐡	моҳӣ, сагмоҳӣ
🦈	кӯсамоҳӣ, моҳӣ
🐙	ҳаштпо
🐚	морпеч, садаф, садафи морпеч
🐌	тӯқумшуллуқ
🦋	зебо, шапалак, ҳашарот
🐛	гамбуск, ҳашарот
🐜	мурча, ҳашарот
🐝	занбур, занбури асал, ҳашарот
🐞	какана, нонхӯрак, халилихӯак, ҳасанак, ҳашарот
🦗	крикет, малах
🕷️	тортанак, ҳашарот
🕸️	тори тортанак, тортанак
🦂	Ақраб, бурҷи дувоздаҳгона, каждум
💐	Гулдаста, гул
🌸	гелос, гул, гул кардан, гули гелос
💮	гул, гули сафед
🏵️	гулдоира, растанӣ
🌹	гул, садбарг
🥀	гул, гули пажмурда, пажмурда
🌺	гибискус, гул
🌻	гул, офтоб, офтобпараст
🌼	гул, гул кардан
🌷	гул, лола
🌱	навниҳол, ҷавон
🌲	дарахт, дарахти ҳамешасабз
🌳	дарахт, дарахти паҳнбарг, паҳнбарг, резиш
🌴	дарахт, дарахти нахл, нахл
🌵	гули ханҷарӣ, растанӣ
🌾	биринҷ, гӯш, дарзаи биринҷ, дона
🌿	алаф, барг
☘️	растанӣ, себарга
🍀	4, барг, беда, бедаи чорбарга, чор
🍁	афтидан, барг, барги заранг, заранг
🍂	афтидан, барг, барги хазон
🍃	барг, барги дар шамол лаппида истода, лаппидан, пуф кардан, шамол
🍇	ангур, мева
🍈	мева, харбуза
🍉	мева, тарбуз
🍊	апелсин, мандарин, мева
🍋	лиму, мева, ситрусӣ
🍌	банан, мева
🍍	ананас, мева
🍎	мева, себ, себи сурх, сурх
🍏	мева, сабз, себ, себи сабз
🍐	мева, нок
🍑	мева, шафтолу
🍒	гелос, мева
🍓	буттамева, мева, тути заминӣ
🥝	киви, мева, меваи киви, ғизо
🍅	помидор, сабзавот, ғизо
🥥	нахл, норҷил, пина колада
🥑	авакадо, мева, ғизо
🍆	бодимҷон, бодинҷон, сабзавот
🥔	картошка, сабзавот, ғизо
🥕	сабзавот, сабзӣ, ғизо
🌽	гӯш, лабиринт, сӯтаи ҷуворимакка, ҷуворимакка, ҷуворӣ
🌶️	гарм, қаланфур, қаланфури тез
🥒	бодиринг, парварда, сабзавот, ғизо
🥦	брокколи, карами ёбоӣ
🍄	занбӯруғ, маргимагас
🥜	сабзавот, чормағз, чормағзи заминӣ, ғизо
🌰	кастона, растанӣ
🍞	буханка, нон
🥐	картошка бирён, кулчақанди "Рогалик", кулчақанди рогалик, нон, рогалик, ғизо
🥖	батон, картошкаи бирён, нон, нони дарози фаронсавӣ, ғизо
🥨	каҷ, кулчаи қоқи ҳалқашакл
🥞	пироги гарм, чалпак, чалпаки тунук, ғизо
🧀	панир, пораи фонашакли панир
🍖	гушт, гушт дар устухон, устухон
🍗	линги мурғ, мурғ, пой, устухон, чӯҷа
🥩	бурида, буридаи гушт, буридаи гушти баррача, буридаи гушти хук
🥓	гушт, гушти хук, ғизо
🍔	бургер, гамбургер
🍟	бирён, картошка бирён, фаронсавӣ
🍕	панир, питса, порча
🌭	хот дог, хотдог, ҳасиб, ҳасибча
🥪	нон, сендвич
🌮	мехиклӣ, тако
🌯	буритто, мехисоӣ, печондан
🥙	гирос, кабоб, нони чапотӣ, нони қима андохташуда, фалафел, ғизо, қима андохташуда
🥚	тухм, ғизо
🍳	бирён шудаистода, дег, пухта истодааст, тухм
🥘	дегча, дегчаи хурди ғизо, паеля, пастоб, тоба, ғизо
🍲	дег, деги ғизо, пазондан
🥣	наҳорӣ, табақ бо қошуқ, шӯла, шӯлаи биринҷӣ
🥗	сабз, хӯриш, хӯриши сабз, ғизо
🍿	ҷуворипақак
🥫	маҳсулоти консервагӣ, қуттӣ
🍱	бенто, қуттии бенто, қуттӣ
🍘	биринҷ, брекери биринҷӣ, крекер
🍙	биринҷ, курачаи биринҷӣ, тӯб, ҷопонӣ
🍚	биринҷ, биринҷи пухташуда, пухташуда
🍛	биринҷ, биринҷ бо карри, карри
🍜	дар об пӯхтан, зарф барои ҷӯшондан, коса, макарон, рамен
🍝	маҳсулоти макаронӣ, спагетти
🍠	картошка, картошкаи ширини пухташуда, пухташуда, ширин
🍢	кабоб, маҳсулоти баҳрӣ, оден, сихкабоб, чӯб
🍣	суши
🍤	бирён, креветка, креветкаи хурди бирён, криветкаи хурд, темпура
🍥	гирдоб, маҳсулоти қаннодӣ, моҳӣ, торт, торт аз моҳӣ бо гирдоб
🍡	данго, десерт, сихкабоб, чӯб, ширин, ҷопонӣ
🥟	гиёза, пирог, тушбера, чалпаки гуштдор, ғелаккабоб, ҷиёза
🥠	кулчаҳои қандини туҳфадор, пешгӯӣ
🥡	зарфи хӯрокхӯрии садафак, қуттии хӯроки бо худ гирифташаванда
🦀	Саратон, бурҷи дувоздаҳгона, харчанг
🦐	гамбусак, гамбусакча, моллюскҳо, хурд, ғизо
🦑	калмар, моллюск, ғизо
🍦	десерт, крем, мулоим, ширин, ях, яхмос, яхмоси мулоим
🍧	десерт, тарошаи ях, тарошида, ширин, ях
🍨	десерт, крем, ширин, ях, яхмос
🍩	десерт, кулча, ширин
🍪	десерт, кулчақанд, ширин
🎂	десерт, маҳсулоти қаннодӣ, рӯзи таваллуд, торт, торти зодрӯзӣ, ширин, ҷашн
🍰	десерт, кулчақанди регак-регак, маҳсулоти қаннодӣ, порча, торт, ширин
🥧	адвия, пирог, қаннодӣ
🍫	десерт, тахтача, ширин, шоколад, як тахтача шоколад
🍬	десерт, конфет, ширин
🍭	десерт, конфет, оби дандон, ширин
🍮	десерт, крем, пудинг, ширин
🍯	асал, дег, кӯзаи асал, ширин
🍼	кӯдак, нӯшидан, шир, шиша, шишаи кӯдак
🥛	нӯшидан, стакан, стакани шир, шир
☕️	гарм, нӯшидан, нӯшокии гарм, нӯшокӣ, чой, қаҳва, ҷӯшондан
🍵	нӯшидан, нӯшокӣ, пиёла, пиёлаи чой, пиёлаи чой бе даста, чой
🍶	бар, нӯшидан, нӯшокӣ, пиёла, саке, шиша
🍾	бар, нӯшидан, парида рафтан, пӯка, шиша, шиша бо пӯкаи он парида рафта истода
🍷	бар, май, нӯшидан, нӯшокӣ, стакан, стакани май
🍸️	бар, коктейл, нӯшидан, стакан, стакани коктейл
🍹	бар, нӯшидан, нӯшокии тропикӣ, тропикӣ
🍺	бар, дӯлча, дӯлчаи пиво, нӯшидан, пиво
🍻	бар, дӯлча, нӯшидан, пиво, ҷиринго задан, ҷирингос задани дӯлчаҳои пиво
🥂	нӯшидан, стакан, ҷашн гирифтан, ҷирингос задан, ҷирингос задани стаканҳо
🥃	виски, ликёр, стакан, стакан барои нӯшокиҳои спиртӣ, стакани хурд, тирпаронӣ
🥤	оби газдор, пиёла бо чӯбак, шарбат
🥢	чӯбҳои хӯрокхӯрӣ, ҳаши
🍽️	корд, пухтан, табақча, чангол, чангол ва корд бо табақча
🍴	корд, пухтан, чангол, чангол ва корд
🥄	зарфҳои хӯрокхӯрӣ, қошуқ
🔪	асбоб, корд, корди ошхона, пухтан, силоҳ, ҳочо
🏺	Далв, амфора, асбоб, бурҷи дувоздаҳгона, нӯшидан, пухта истода, силоҳ, қадаҳи дастадор
🌍	Аврупо, Африка, глобус, глобусе, ки Аврупо-Африкаро намоиш медиҳад, замин, ҷаҳон
🌎️	Америкаҳо, глобус, глобусе, ки Америкаҳоро намоиш медиҳад, замин, ҷаҳон
🌏	Австралия, Осиё, глобус, глобусе, ки Осиё-Австралияро намоиш медиҳад, замин, ҷаҳон
🌐	глобус, глобус бо меридианаҳо, замин, меридианҳо, ҷаҳон
🗺️	харита, харитаи ҷаҳон, ҷаҳон
🗾	харита, харитаи Ҷопон, Ҷопон
🏔️	барф, куҳ, куҳи бо барф пӯшида, хунук
⛰️	куҳ
🌋	вулқон, куҳ, оташфишонӣ
🗻	куҳ, теппаи Фуҷи, фуҷи
🏕️	хаймазанӣ
🏖️	соҳил, соҳил бо чатр, чатр
🏜️	биёбон
🏝️	биёбон, ҷазира, ҷазираи биёбон
🏞️	парк, парки миллӣ
🏟️	варзишгоҳ
🏛️	бинои классикӣ, классикӣ
🏗️	сохтмон, сохтмони бино
🏘️	хонаҳо
🏚️	бесоҳиб, хона, хонаи бесоҳиб
🏠️	хона
🏡	боғ, хона, хона бо боғ
🏢	бино, бинои идора
🏣	идораи почтаи ҷопонӣ, почта, ҷопонӣ
🏤	аврупоӣ, идораи почта, почта
🏥	беморхона, дору, духтур
🏦	бино, бонк
🏨	бино, меҳмонхона
🏩	меҳмонхона, меҳмонхонаи муҳаббат, муҳаббат
🏪	мағоза, мағозаи шабонарӯзӣ, шароит
🏫	бино, мактаб
🏬	бахш, магазин, универмаг
🏭️	бино, фабрика
🏯	қалъа, қалъаи ҷопонӣ, ҷопонӣ
🏰	аврупоӣ, қалъа
💒	калисои хурд, роман, тӯй
🗼	Токио, бурҷ, бурҷи Токио
🗽	озодӣ, ҳайкал, ҳайкали Озодӣ
⛪️	Насронӣ, дин, калисо, салиб
🕌	Ислом, дин, масҷид, мусулмон
🕍	дин, каниса, маъбад, яҳуд, яҳудӣ
⛩️	дин, синто, ҷои муқаддас, ҷои муқаддаси синто
🕋	Ислом, дин, каъба, мусулмон
⛲️	фаввора
⛺️	хайма, хаймазанӣ
🌁	туман, тумандор
🌃	ситора, шаб, шаби ситорадор
🏙️	манзараи шаҳр, шаҳр
🌄	Тулӯи офтоб аз болои куҳҳо, куҳ, офтоб, саҳар, тулӯи офтоб
🌅	офтоб, саҳар, тулӯъ
🌆	бегоҳ, манзара, манзараи шаҳр дар шом, офтоб, шаҳр, шом, ғуруби офтоб
🌇	офтоб, шом, ғуруб
🌉	кӯпрук, кӯпрук дар шаб, шаб
♨️	гарм, чашмаҳо, чашмаҳои гарм, ҷӯшидаистода
🎠	аспак, аспаки чархуфалак, чархуфалак
🎡	парки фароғатӣ, феррис, чарх, чархуфалак
🎢	каток, лағжишбозӣ, парки фароғатӣ, роҳи оҳани лағжишбозӣ
💈	мӯйгирӣ, сартарош, сутун бо ранги сурху сафеди морпеч, қутб
🎪	сирк, хайма, хаймаи сирк
🚂	буғ, локомотив, муҳаррик, роҳи оҳан, қатора
🚃	вагони роҳи оҳан, мошин, роҳи оҳан, трамвай, троллейбус, электрикӣ, қатора
🚄	роҳи оҳан, синкансен, суръат, қатора, қатораи баландсуръат
🚅	роҳи оҳан, синкансен, суръат, тир, қатора, қатораи баландсуръат бо нӯги тирмонанд
🚆	роҳи оҳан, қатора
🚇️	метро
🚈	метрои сабук, роҳи оҳан
🚉	истгоҳ, роҳи оҳан, қатора
🚊	трамвай, троллейбус
🚝	нақлиёт, якрелса
🚞	куҳ, мошин, роҳи оҳан, роҳи оҳани куҳӣ
🚋	вагони трамвай, мошин, трамвай, троллейбус
🚌	автобус, нақлиёт
🚍️	автобус, автобуси самти муқобил, самти муқобил
🚎	автобус, трамвай, троллейбус
🚐	автобус, микроавтобус
🚑️	мошини ёрии таъҷилӣ, нақлиёт
🚒	мошини боркаш, мошини сӯхторхомӯшкунӣ, муҳаррик, оташ
🚓	мошин, мошини пулис, посбон, пулис
🚔️	аз самти муқобил, мошин, мошини пулис аз самти муқобил, пулис
🚕	нақлиёт, такси
🚖	аз самти муқобил, такси, такси аз самти муқобил
🚗	автомобил, мошин
🚘️	автомобил, автомобили самти муқобил, мошин, самти муқобил
🚙	кроссовер, мошини варзишии ҳамаҷогард, фароғатӣ
🚚	автомобили боркаш, бурдарасонӣ, мошини боркаш
🚛	боркаш, мошини боркаш, нақлиёти боркаш, ним
🚜	нақлиёт, трактор
🏎️	автомобили пойга, мошин, пойга
🏍️	мотосикл, пойга
🛵	муҳаррик, скутер
🚲️	велосипед, дучарха
🛴	ба по задан, самокат, скутер
🚏	автобус, истгоҳ, истгоҳи автобус, истгоҳи автобусҳо
🛣️	роҳ, роҳи автомобилгард, шоҳроҳ
🛤️	роҳи оҳан, қатора
🛢️	нафт, нақора, чалаки нафт
⛽️	газ, истгоҳ, насос, насоси сӯзишворӣ, сӯзишворӣ
🚨	даврзананда, мино, мошин, пулис, рӯшноии мошини пулис, рӯшноӣ
🚥	рӯшноӣ, сигнал, чароғи раҳнамои уфуқӣ, ҳаракат
🚦	рӯшноӣ, сигнал, чароғи раҳнамои амудӣ, ҳаракат
🛑	аломат, аломати "Ист", ист, ҳашткунҷа
🚧	монеа, сохтмон
⚓️	асбоб, киштӣ, лангар
⛵️	баҳр, заврақи бодбондор, киштӣ, курорт, қаиқ
🛶	заврақ, қаиқ
🚤	катери тезгард, қаиқ
🛳️	киштии мусофиркаш, киштӣ, мусофир
⛴️	киштии гузора, мусофир, қаиқ
🛥️	қаиқ, қаиқи муҳаррикдор
🚢	киштӣ, мусофир, қаиқ
✈️	тайёра, ҳавопаймо
🛩️	тайёра, тайёраи хурд, ҳавопаймо
🛫	бақайдгирӣ, парвоз, парвози тайёра, парвозҳо, тайёра, ҳавопаймо
🛬	нишастан, омадаистода, омадан, омадани тайёра, тайёра, ҳавопаймо
💺	курсӣ, ҷои нишаст
🚁	нақлиёт, чархбол
🚟	овеза, роҳи оҳан, роҳи оҳани овезон
🚠	гондола, куҳ, ноқил, фуникулёр
🚡	гондола, мошин, ноқил, трамваи ҳавоӣ, трамвай, ҳавоӣ
🛰️	моҳвора, фазо
🚀	ракета, фазо
🛸	лаълии паррон
🛎️	зангула, зангулаи хизматгори меҳмонхона, меҳмонхона, хизматгори меҳмонхона
⌛️	вақтсанҷ, рег, соати регӣ
⏳️	вақтсанҷ, рег, соати регӣ, соати регӣ бо ҷорӣ шудани рег
⌚️	соати дастӣ, соати деворӣ
⏰	соат, соати зангдор, ҳушдор
⏱️	соати деворӣ, сониясанҷ
⏲️	вақтсанҷ, соати вақтсанҷ, соати деворӣ
🕰️	соати деворӣ, соати сангӣ
🕛️	00, 12, 12:00, дувоздаҳ, соат, соат дувоздаҳ
🕧	12, 12:30, 30, дувоздаҳ, дувоздаҳу сӣ, соат, сӣ
🕐️	00, 1, 1:00, соат, соат як, як
🕜	1, 1:30, 30, соат, сӣ, як, яку сӣ
🕑️	00, 2, 2:00, ду, соат, соат ду
🕝	2, 2:30, 30, ду, дую сӣ, соат, сӣ
🕒️	00, 3, 3:00, се, соат, соат се
🕞	3, 30, 3:30, се, севу сӣ, соат, сӣ
🕓️	00, 4, 4:00, соат, соат чор, чор
🕟	30, 4, 4:30, соат, сӣ, чор, чору сӣ
🕔️	00, 5, 5:00, панҷ, соат, соат панҷ
🕠	30, 5, 5:30, панҷ, панҷу сӣ, соат, сӣ
🕕️	00, 6, 6:00, соат, соат шаш, шаш
🕡	30, 6, 6:30, соат, сӣ, шаш, шашу сӣ
🕖️	00, 7, 7:00, соат, соат ҳафт, ҳафт
🕢	30, 7, 7:30, соат, сӣ, ҳафт, ҳафту сӣ
🕗️	00, 8, 8:00, соат, соат ҳашт, ҳашт
🕣	30, 8, 8:30, соат, сӣ, ҳашт, ҳашту сӣ
🕘️	00, 9, 9:00, нуҳ, соат, соат нуҳ
🕤	30, 9, 9:30, нуҳ, нуҳу сӣ, соат, сӣ
🕙️	00, 10, 10:00, даҳ, соат, соат даҳ
🕥	10, 10:30, 30, даҳ, даҳу сӣ, соат, сӣ
🕚️	00, 11, 11:00, соат, соат ёздаҳ, ёздаҳ
🕦	11, 11:30, 30, соат, сӣ, ёздаҳ, ёздаҳу сӣ
🌑	моҳ, моҳи нав, торик
🌒	калон шудани моҳ, моҳ, ҳилол, ҳилоли нав
🌓	марҳилаи чоряки якуми моҳ, моҳ, чоряк
🌔	калон шудани моҳ, марҳилаи калон шудани моҳ, марҳилаи моҳ, моҳ
🌕️	моҳи пурра, пурра
🌖	марҳилаи моҳ, марҳилаи хурд шудани моҳ, моҳ, хурд шудани моҳ
🌗	марҳилаи чоряки охири моҳ, моҳ, чоряк
🌘	марҳилаи хурд шудани ҳилол, моҳ, хурд шудани моҳ, ҳилол
🌙	моҳ, ҳилол
🌚	моҳ, рӯй, чеҳраи моҳи нав
🌛	моҳ, рӯй, чоряк, чоряки якуми моҳ бо чеҳра
🌜️	моҳ, рӯй, чоряк, чоряки охири моҳ бо чеҳра
🌡️	обу ҳаво, ҳароратсанҷ
☀️	офтоб, офтобӣ, равшан, шуоъ
🌝	моҳ, моҳи пурра бо чеҳра, пурра, равшан, рӯй
🌞	офтоб, офтоб бо чеҳра, равшан, рӯй
⭐️	ситора, ситораи миёнаи сафед
🌟	дурахшидан, дурахшон, пурҷило, ситора, ситораи дурахшон, ялаққос задан
🌠	афтидан, парондан, ситора, ситораи думдор
🌌	роҳи Каҳкашон, фазо
☁️	абр, обу ҳаво
⛅️	абр, офтоб, офтоб паси абр
⛈️	абр, абр бо чароғак ва борон, борон, тундар
🌤️	абр, офтоб, офтоб паси абри хурд
🌥️	абр, офтоб, офтоб паси абри калон
🌦️	абр, борон, офтоб, офтоб паси абри боронӣ
🌧️	абр, абр бо борон, борон
🌨️	абр, абр бо барф, барф, хунук
🌩️	абр, абр бо чароғак, чароғак
🌪️	абр, гирдбод, торнадо
🌫️	абр, туман
🌬️	абр, вазидан, рӯи шамол, рӯй, шамол
🌀	сарчархзанӣ, сиклон, тундбод, туфон
🌈	борон, тирукамон
🌂	борон, либос, чатр, чатри пӯшида
☂️	борон, либос, чатр
☔️	борон, либос, чатр, чатр бо қатраҳои борон, қатра
⛱️	борон, офтоб, чатр, чатр дар замин
⚡️	барқ, хатар, чароғак, шиддат, шиддати баланд, электрикӣ, қувва
❄️	абр, барф, зарраи барф
☃️	абр, барф, одами барфӣ
⛄️	барф, одами барфӣ, одами барфӣ бе барф, хунук
☄️	комета, фазо
🔥	аланга, асбоб, оташ
💧	арақ, мазҳакавӣ, хунук, қатра
🌊	мавҷ, мавҷи об, об, уқёнус
🎃	сурохӣ, хеллоуин, чароғ, чароғак аз каду бо сӯрохиҳои даҳон, бинӣ ва чашмон, ҷашн
🎄	дарахт, дарахти Мавлуди Исо, мавлуди Исо, ҷашн
🎆	оташфаввора, ҷашн
🎇	мушаки маҳтобӣ, оташфаввора, ялаққос задан, ҷашн
✨	ситора, шарора, ялаққос задан
🎈	ҳубоб, ҷашн
🎉	маводи тарфгарӣ (хлопушка), тада, хлопушка, шабнишинӣ, ҷашн
🎊	конфетти, кӯраи конфетти, тӯб, ҷашн
🎋	баннер, дарахт, дарахти Танабата, ҷашн, ҷопонӣ
🎍	бамбук, дарахти санавбаар, ороиши дарахти санавбар, ҷашн, ҷопонӣ
🎎	лухтак, лухтакҳои ҷопонӣ, фестивал, ҷашн, ҷопонӣ
🎏	зағорамоҳӣ, лентаи борик, летнаи ҳиллиросзанандаи ба шакли зағорамоҳӣ, ҷашн
🎐	зангула, мусиқии шамол, мусиқӣ, шамол, ҷашн
🎑	маросим, маросими тамошои моҳтоб, моҳ, ҷашн
🎀	лента, ҷашн
🎁	печондашуда, туҳфа, туҳфаи печондашуда, қуттӣ, ҷашн
🎗️	лента, лентаи ёдрасон, ёдрасон, ҷашн
🎟️	чипта, чиптаҳои қабул, қабул
🎫	чипта, қабул
🎖️	медал, медали ҳарбӣ, ҳарбӣ, ҷашн
🏆️	мукофот, ҷоиза
🏅	медал, медали варзишӣ
🥇	медал, медал барои ҷои 1-ум, тилло, якум
🥈	дуюм, медал, медал барои ҷои 2-юм, нуқра
🥉	биринҷӣ, медал, медал барои ҷои 3-юм, сеюм
⚽️	тӯб, тӯби футбол, футбол
⚾️	бейсбол, тӯб
🏀	баскетбол, тӯб, ҳалқа
🏐	бозӣ, волейбол, саққа
🏈	амрикоӣ, тӯб, футбол, футболи амрикоӣ
🏉	регби, тӯб, футбол
🎾	ракетка, тенис, тӯб
🎳	бозӣ, боулинг, саққа
🏏	бозии крикет, бозӣ, саққо, тӯб
🏑	бозӣ, майдон, майдони хоккей, тӯб, хоккей, чавгон
🏒	бозӣ, хоккей, хоккей дар рӯи ях, чавгон, шайба, ях
🏓	бозӣ, пинг понг, ракетка, саққо, тенниси рӯи миз, тӯб
🏸	бадминтон, бозӣ, волан, ракетка
🥊	бокс, дастпӯшак, дастпӯшак барои бокс
🥋	дзюдо, каратэ, либоси санъати ҳарбӣ, либоси ягона, санъати ҳарбӣ, таэквондо
🥅	гол, тӯри дарвозаи футбол
⛳️	байрақ дар сӯрохӣ, голф, сурохӣ
⛸️	скейт, ях, яхмолак
🎣	моҳӣ, шаст, қутб
🎽	варзиши сабук, давидан, курта, курта барои давидан, тасмаи орден
🎿	барф, лижа
🛷	чана
🥌	бозӣ, санги бозии кёрлинг, харсанг
🎯	бозӣ, буққа, дарт, задан, нишона, рост рафта расидан, чашм, ҳадаф
🎱	8, билярд, билярди 8 саққадор, бозӣ, саққа, ҳашт
🔮	асбоб, афсона, булӯр, кура, кураи булӯрӣ, тахайюлот, тақдир
🎮️	бозии видеоӣ, бозӣ, танзимгар
🕹️	бозии видеоӣ, бозӣ, ҷойстик
🎰	бозӣ, ковокӣ, мошинаи қиморбозӣ
🎲	бозии зарикҳо, бозӣ, зарик, зарикҳо
♠️	бозӣ, корт, қарамашшоқ
♥️	бозӣ, корт, таппон
♦️	бозӣ, корт, хиштхол
♣️	бозӣ, корт, чилликхол
🃏	аломатҳои ивазкунӣ, бозӣ, корт, ҳазлбоз
🀄️	аждаҳори сурхи маҳҷонг, бозӣ, маҳҷонг, сурх
🎴	бозикунӣ, бозӣ, гул, корт, кортҳои бозии "Гул", ҷопонӣ
🎭️	иҷро кардан, намдуҳои санъати иҷро, ниқоб, санъат, театр
🖼️	осорхона, расм, санъат, сурат, сурати чорчӯбадор, чорчӯба
🎨	лавҳачаи рассомии рассом, лавҳачаи рассомӣ, осорхона, расм, санъат
👓️	айнак, айнаки муҳофизатӣ, либос, чашм
🕶️	айнак, айнаки муҳофизатӣ, айнаки офтобӣ, торик, чашм
👔	галстук, пӯшок
👕	курта, либос, футболка
👖	либос, шим, ҷинс
🧣	гардан, шарф
🧤	даст, дастпӯшак
🧥	палто, пиҷак
🧦	ҷуроб, ҷуроби дароз
👗	куртаи занона, пӯшок
👘	кимоно, пӯшок
👙	либоси оббозӣ, оббозӣ кардан, пӯшок
👚	зан, либосҳои занона, пӯшок
👛	либос, танга, ҳамён
👜	либос, сумка, ҳамён
👝	клатч, либос, сумка, сумкача
🛍️	меҳмонхона, сумка, сумкаҳо барои харид кардан, харид
🎒	борхалтаи мактабӣ, мактаб, сумка, ҷузъдон
👞	либос, мард, пойафзол, пойафзоли мардона
👟	варзишӣ, либос, пойафзол, пойафзол барои давидан, пойафзоли варзишӣ
👠	зан, либос, пойафзол, пойафзоли пошнабаланд, пошна
👡	зан, кафши сабук, кафши сабуки занона, либос, пойафзол
👢	ботинка, зан, либос, мӯзаи занона, пойафзол
👑	либос, малика, тоҷ, шоҳ
👒	зан, кулоҳ, кулоҳи занона, либос
🎩	боло, кулоҳ, кулоҳи баланд, либос
🎓️	кепка, конфедератка, кулоҳ, либос, хатм, ҷашн
🧢	бейсболка, кепкаи лапардор
⛑️	кӯмак, рӯй сарпӯш, салиб, тоскулоҳ, тоскулоҳи корманди наҷотдиҳӣ
📿	гарданбанд, дин, дуо, либос, тасбеҳ, шабаи майда
💄	косметика, лабсурхкунак, макияж
💍	алмос, ангуштарин
💎	алмос, нақрасанг, санги қиматбаҳо, ҷавоҳирот
🔇	баландгӯяк, баландгӯяки хомӯш, бесадо кардан, хомӯш
🔈️	мулоим, садои пасти баландгӯяк
🔉	миёна, садои миёнаи баландгӯяк
🔊	баланд, садои баланди баландгӯяк
📢	баланд, баландгӯяк, суроғаи ошкор
📣	кафкӯбӣ, мегафон
📯	почта, почтавӣ, сурнаи почта, сурнай
🔔	зангӯлача
🔕	бесадо, зангула, зангӯлача бо хати каср, мамнуъ, манъшуда, не, хомӯш
🎼	мусиқӣ, нота, партитура
🎵	мусиқӣ, нота, нотаи мусиқӣ
🎶	мусиқӣ, нота, нотаҳо, нотаҳои мусиқӣ
🎙️	мик, микрофон, микрофони студия, мусиқӣ, студия
🎚️	василаи лағжанда, василаи лағжандаи сатҳ, мусиқӣ, сатҳ
🎛️	дастаҳо, дастаҳои идора, идора, мусиқӣ
🎤	караоке, мик, микрофон
🎧️	гӯшмонак, гӯшмонаки хурд
📻️	видео, радио
🎷	асбоб, мусиқӣ, саксофон
🎸	асбоб, гитар, мусиқӣ
🎹	асбоб, клавиатура, клавиатураи мусиқӣ, мусиқӣ, пианино
🎺	асбоб, карнай, мусиқӣ
🎻	асбоб, мусиқӣ, ғиҷҷак
🥁	мусиқӣ, нақора, чӯбҳои нақора
📱	телефон, телефони мобилӣ
📲	занг, телефон, телефони мобилӣ, телефони мобилӣ бо тир, тир, қабул кардан
☎️	телефон
📞	гӯшаки телефон, телефон
📟️	пейҷер
📠	дастгоҳи факс, факс
🔋	батарея
🔌	барқ, барқӣ, васлак, васлаки электрикӣ
💻️	компютер, компютери лэптоп, шахсӣ
🖥️	компютер, компютери рӯимизӣ, рӯимизӣ
🖨️	компютер, принтер
⌨️	клавиатура, компютер
🖱️	компютер, муши компютер
🖲️	компютер, трекбол
💽	диск, диски компютер, компютер, минидиск, оптикӣ
💾	диск, диски нарм, компютер, нарм
💿️	cd, диск, диски оптикӣ, компютер, оптикӣ
📀	blu-ray, dvd, диск, компютер, оптикӣ
🎥	камера, камераи киногирӣ, кино, синамо
🎞️	кадр, кадрҳои навор, кино, навор, синамо
📽️	видео, кино, проектор, проектори филм, синамо, филм
🎬️	кино, нумератор, хлопушка
📺️	видео, тв, телевизор
📷️	видео, камера
📸	видео, дурахш, камера, камера бо дурахш
📹️	видео, видеокамера, камера
📼	видео, видеосистемаи хонагӣ, кассетаи видео, навор
🔍	асбоб, бузургкунӣ, пурбини ба тарафи чап ишоракунанда, шиша, ҷустуҷӯ
🔎	асбоб, бузургкунӣ, пурбини ба тарфи рост ишоракунанда, шиша, ҷустуҷӯ
🕯️	рӯшноӣ, шамъ
